date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:47	387438/387438	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jan%202025%2009:08:47%20GMT	https://preview.webcake.io/my-pham-va-sac-dep-10	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/my-pham-va-sac-dep-10.html	(from )
16:08:47	164/164	U-----	200	untouched ('OK')	text/plain	etag:%227C08E94%22	https://preview.webcake.io/robots.txt		(from )
16:08:47	1102/1102	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jan%202025%2009:08:48%20GMT	https://preview.webcake.io/pages/my-pham-va-sac-dep-10	C:/My%20Web%20Sites/MyPham11/preview.webcake.io/pages/my-pham-va-sac-dep-10.html	(from https://preview.webcake.io/my-pham-va-sac-dep-10)
16:08:48	35680/35680	U-----	200	untouched ('')	image/png	etag:d6427653b3fa44d854f2171914c91e090286b98f56448f3101970b11.png	https://statics.pancake.vn/web-media/48/c1/5e/fa/d6427653b3fa44d854f2171914c91e090286b98f56448f3101970b11.png	C:/My%20Web%20Sites/MyPham11/statics.pancake.vn/web-media/48/c1/5e/fa/d6427653b3fa44d854f2171914c91e090286b98f56448f3101970b11.png	(from https://preview.webcake.io/my-pham-va-sac-dep-10)
16:08:48	120682/120682	---M--	200	added ('OK')	image/webp	etag:42d52cb66664af8cf14e7d96ca7bcf75e7e6a0a24ccbbc9cc56241d2.png	https://cdn.pancake.vn/1/s2900x1100/fwebp/05/5a/27/6a/42d52cb66664af8cf14e7d96ca7bcf75e7e6a0a24ccbbc9cc56241d2.png	C:/My%20Web%20Sites/MyPham11/cdn.pancake.vn/1/s2900x1100/fwebp/05/5a/27/6a/42d52cb66664af8cf14e7d96ca7bcf75e7e6a0a24ccbbc9cc56241d2.png	(from https://preview.webcake.io/my-pham-va-sac-dep-10)
16:08:48	409068/409068	---M--	200	added ('OK')	image/png	etag:42d52cb66664af8cf14e7d96ca7bcf75e7e6a0a24ccbbc9cc56241d2.png	https://cdn.pancake.vn/1/s2900x1100/05/5a/27/6a/42d52cb66664af8cf14e7d96ca7bcf75e7e6a0a24ccbbc9cc56241d2.png	C:/My%20Web%20Sites/MyPham11/cdn.pancake.vn/1/s2900x1100/05/5a/27/6a/42d52cb66664af8cf14e7d96ca7bcf75e7e6a0a24ccbbc9cc56241d2.png	(from https://preview.webcake.io/my-pham-va-sac-dep-10)
16:08:48	45630/45630	---M--	200	added ('OK')	image/webp	etag:be0a477764df14b26bd3ba342907acae8d244ad49106fdb736f4be29.png	https://cdn.pancake.vn/1/s600x400/fwebp/c8/f7/9d/37/be0a477764df14b26bd3ba342907acae8d244ad49106fdb736f4be29.png	C:/My%20Web%20Sites/MyPham11/cdn.pancake.vn/1/s600x400/fwebp/c8/f7/9d/37/be0a477764df14b26bd3ba342907acae8d244ad49106fdb736f4be29.png	(from https://preview.webcake.io/my-pham-va-sac-dep-10)
16:08:49	27613/27613	---M--	200	added ('OK')	image/png	etag:be0a477764df14b26bd3ba342907acae8d244ad49106fdb736f4be29.png	https://cdn.pancake.vn/1/s600x400/c8/f7/9d/37/be0a477764df14b26bd3ba342907acae8d244ad49106fdb736f4be29.png	C:/My%20Web%20Sites/MyPham11/cdn.pancake.vn/1/s600x400/c8/f7/9d/37/be0a477764df14b26bd3ba342907acae8d244ad49106fdb736f4be29.png	(from https://preview.webcake.io/my-pham-va-sac-dep-10)
16:08:49	34052/34052	---M--	200	added ('OK')	image/webp	etag:3d24fe1cf2337c7e67b3cc323c2c6e139a0b0366a698b93fc26e79e2.png	https://cdn.pancake.vn/1/s700x400/fwebp/ef/91/af/96/3d24fe1cf2337c7e67b3cc323c2c6e139a0b0366a698b93fc26e79e2.png	C:/My%20Web%20Sites/MyPham11/cdn.pancake.vn/1/s700x400/fwebp/ef/91/af/96/3d24fe1cf2337c7e67b3cc323c2c6e139a0b0366a698b93fc26e79e2.png	(from https://preview.webcake.io/my-pham-va-sac-dep-10)
16:08:49	155462/155462	---M--	200	added ('OK')	image/png	etag:3d24fe1cf2337c7e67b3cc323c2c6e139a0b0366a698b93fc26e79e2.png	https://cdn.pancake.vn/1/s700x400/ef/91/af/96/3d24fe1cf2337c7e67b3cc323c2c6e139a0b0366a698b93fc26e79e2.png	C:/My%20Web%20Sites/MyPham11/cdn.pancake.vn/1/s700x400/ef/91/af/96/3d24fe1cf2337c7e67b3cc323c2c6e139a0b0366a698b93fc26e79e2.png	(from https://preview.webcake.io/my-pham-va-sac-dep-10)
